achievement_apvp.popup.caption	New game mode
AD_Achievement_Text_24	We are celebrating Valentine's Day! Send gifts with valentines to your friends and share good spirits. All guests who have an invitation will get presents!
AD_Achievement_Text_24_Avocado	We are celebrating Valentine's Day! Send gifts with valentines to your friends and share good spirits. All guests who have an invitation will get presents!
AD_Achievement_Text_3	You have become more experienced and reached the <font=tahoma_bold_10><color=fcffc3>[$]</font> level.
AD_Achievement_Text_3_Avocado	Avocado
AD_Achievement_Text_300	3rd
AD_Achievement_Text_300_Avocado	Avocado
AD_Achievement_Text_301	5th
AD_Achievement_Text_301_Avocado	Avocado
AD_Achievement_Text_302	7th
AD_Achievement_Text_302_Avocado	Avocado
AD_Achievement_Text_303	10th
AD_Achievement_Text_303_Avocado	Avocado
AD_Achievement_Text_304	15th
AD_Achievement_Text_304_Avocado	Avocado
AD_Achievement_Text_305	20th
AD_Achievement_Text_305_Avocado	Avocado
AD_Achievement_Text_306	25th
AD_Achievement_Text_306_Avocado	Avocado
AD_Achievement_Text_307	30th
AD_Achievement_Text_307_Avocado	Avocado
AD_Achievement_Text_4	You have been promoted to <font=tahoma_bold_10><color=fcffc3>[$]</font>.
AD_Achievement_Text_4_Avocado	Avocado
AD_Achievement_Text_400	Recruit
AD_Achievement_Text_400_Avocado	Avocado
AD_Achievement_Text_401	Fighter
AD_Achievement_Text_401_Avocado	Avocado
AD_Achievement_Text_402	Warrior
AD_Achievement_Text_402_Avocado	Avocado
AD_Achievement_Text_403	Veteran
AD_Achievement_Text_403_Avocado	Avocado
AD_Achievement_Text_404	Berserker
AD_Achievement_Text_404_Avocado	Avocado
AD_Achievement_Text_405	Knight
AD_Achievement_Text_405_Avocado	Avocado
AD_Achievement_Text_406	Champion
AD_Achievement_Text_406_Avocado	Avocado
AD_Achievement_Text_407	Hero
AD_Achievement_Text_407_Avocado	Avocado
AD_Achievement_Text_408	Legend
AD_Achievement_Text_408_Avocado	Avocado
AD_Achievement_Text_409	Demigod
AD_Achievement_Text_409_Avocado	Avocado
AD_Achievement_Text_5	[$]
AD_Achievement_Text_500	You managed to repulse the mysterious assault on the Library. Now the many priceless books and ancient manuscripts within are out of danger.
AD_Achievement_Text_500_Avocado	Avocado
AD_Achievement_Text_501	With your help, the Mages managed to remove the spell blocking the port, allowing the reinforcements to arrive.
AD_Achievement_Text_501_Avocado	Avocado
AD_Achievement_Text_502	New intelligence has been received from a trusted member of the Royal Intelligence Agency. We can move further north.
AD_Achievement_Text_502_Avocado	Avocado
AD_Achievement_Text_503	You learned more about the mysterious manuscripts written in the ages before the Great Cataclysm.
AD_Achievement_Text_503_Avocado	Avocado
AD_Achievement_Text_504	I had the good fortune of obtaining a very ancient Scroll. Its contents might shed some light on this situation.
AD_Achievement_Text_504_Avocado	Avocado
AD_Achievement_Text_505	With your help, the ancient manuscript has been deciphered. It warns of a potential threat to the Crown.
AD_Achievement_Text_505_Avocado	Avocado
AD_Achievement_Text_506	Lazarus managed to escape. But thanks to your efforts, his army was defeated and his plans, thwarted.
AD_Achievement_Text_506_Avocado	Avocado
AD_Achievement_Text_507	Your outstanding efforts to uncover the conspiracy against the people of the Kingdom earn you a promotion to the Golden Legion from His Majesty. 
AD_Achievement_Text_507_Avocado	Avocado
AD_Achievement_Text_508	You managed to repulse the mysterious assault on the Library. Now the many priceless books and ancient manuscripts within are out of danger. Now is the time to move on and meet new challenges. 
AD_Achievement_Text_508_Avocado	Avocado
AD_Achievement_Text_509	With your help, the Mages managed to remove the spell blocking the port, allowing the reinforcements to arrive. Help for the Order is on the way! 
AD_Achievement_Text_509_Avocado	Avocado
AD_Achievement_Text_510	New intelligence has been received from a trusted member of the Royal Intelligence Agency. We can move further north. 
AD_Achievement_Text_510_Avocado	Avocado
AD_Achievement_Text_511	With your help, the cultists' manifestos have been deciphered. The ArchMages must be warned of the imminent danger! 
AD_Achievement_Text_511_Avocado	Avocado
AD_Achievement_Text_512	A special magical key to the door guarding the ancient secrets has been manufactured. High time to face the unknown! 
AD_Achievement_Text_512_Avocado	Avocado
AD_Achievement_Text_513	Having secured the witches' magical assistance, you are ready to face the Kingdom's most dangerous foe! 
AD_Achievement_Text_513_Avocado	Avocado
AD_Achievement_Text_514	Lazarus managed to escape. But thanks to your efforts, his army was defeated and his plans, thwarted. The Kingdom is no longer threatened. 
AD_Achievement_Text_514_Avocado	Avocado
AD_Achievement_Text_515	Your outstanding efforts to uncover the conspiracy against the people of the Kingdom earn you a promotion to the Golden Legion from His Majesty. 
AD_Achievement_Text_515_Avocado	Avocado
AD_Achievement_Text_6	Congratulations! You have passed the <font=tahoma_bold_10><color=fcffc3>training</font>.
AD_Achievement_Text_6_Avocado	Avocado
AD_Achievement_Text_7	Congratulations! You have arrived at the <font=tahoma_bold_10><color=fcffc3>[$]</font>.
AD_Achievement_Text_7_Avocado	Avocado
AD_Achievement_Text_700	Witch's Swamp
AD_Achievement_Text_700_Avocado	Avocado
AD_Achievement_Text_701	Academy Tiltyard
AD_Achievement_Text_701_Avocado	Avocado
AD_Achievement_Text_702	Karakol Port
AD_Achievement_Text_702_Avocado	Avocado
AD_Achievement_Text_703	Ancient Temple
AD_Achievement_Text_703_Avocado	Avocado
AD_Achievement_Text_704	Barley Grove
AD_Achievement_Text_704_Avocado	Avocado
AD_Achievement_Text_705	Bear Forest
AD_Achievement_Text_705_Avocado	Avocado
AD_Achievement_Text_706	Kronberg
AD_Achievement_Text_706_Avocado	Avocado
AD_Achievement_Text_707	Ruined Temple
AD_Achievement_Text_707_Avocado	Avocado
AD_Achievement_Text_708	Eastern Fort
AD_Achievement_Text_708_Avocado	Avocado
AD_Achievement_Text_709	Engineers' Reservation
AD_Achievement_Text_709_Avocado	Avocado
AD_Achievement_Text_710	Forsaken Village
AD_Achievement_Text_710_Avocado	Avocado
AD_Achievement_Text_711	Free Village
AD_Achievement_Text_711_Avocado	Avocado
AD_Achievement_Text_712	Garrison of the Order
AD_Achievement_Text_712_Avocado	Avocado
AD_Achievement_Text_713	Gray Warden Garrison
AD_Achievement_Text_713_Avocado	Avocado
AD_Achievement_Text_714	Hunter’s Camp
AD_Achievement_Text_714_Avocado	Avocado
AD_Achievement_Text_715	Library Ruins
AD_Achievement_Text_715_Avocado	Avocado
AD_Achievement_Text_716	Northern Bay
AD_Achievement_Text_716_Avocado	Avocado
AD_Achievement_Text_717	Scouts’ Camp
AD_Achievement_Text_717_Avocado	Avocado
AD_Achievement_Text_718	Shady Grove
AD_Achievement_Text_718_Avocado	Avocado
AD_Achievement_Text_719	Turtle Hill
AD_Achievement_Text_719_Avocado	Avocado
AD_Achievement_Text_720	Watermill Junction
AD_Achievement_Text_720_Avocado	Avocado
AD_Achievement_Text_721	Western Fort
AD_Achievement_Text_721_Avocado	Avocado
AD_Achievement_Text_8	{hero_name}, you have begun playing King’s Bounty: Legions. New adventures await brave heroes! Tell your friends so that they can join in the excitement.
AD_Achievement_Text_8_Avocado	Avocado
AD_Achievement_Text_9	[$]
AD_Achievement_Text_900	We are celebrating Hallowe'en. Happy All Hallows' Eve everybody! Share <font=tahoma_bold_10><color=fcffc3>licorice</font> with your friends and send them new gifts. You will meet new units you have never seen before.
AD_Achievement_Text_900_Avocado	Avocado
AD_Achievement_Text_901	We are celebrating Christmas. Merry Christmas, everybody! Share <font=tahoma_bold_10><color=fcffc3>hot drinks</font> with your friends. Be ready to meet both new opponents and new faithful warriors! Expect to see new characters and face exciting new quests! 
AD_Achievement_Text_901_Avocado	Avocado
AD_Achievement_Text_Share_Reward_1	[AD_Achievement_Text_Share_Reward_Money]
AD_Achievement_Text_Share_Reward_1_Avocado	[AD_Achievement_Text_Share_Reward_Money_Avocado]
AD_Achievement_Text_Share_Reward_10	[AD_Achievement_Text_Share_Reward_Creature]
AD_Achievement_Text_Share_Reward_10_Avocado	[AD_Achievement_Text_Share_Reward_Creature_Avocado]
AD_Achievement_Text_Share_Reward_11	[AD_Achievement_Text_Share_Reward_Creature]
AD_Achievement_Text_Share_Reward_11_Avocado	[AD_Achievement_Text_Share_Reward_Creature_Avocado]
AD_Achievement_Text_Share_Reward_12	[AD_Achievement_Text_Share_Reward_Creature]
AD_Achievement_Text_Share_Reward_12_Avocado	[AD_Achievement_Text_Share_Reward_Creature_Avocado]
AD_Achievement_Text_Share_Reward_13	[AD_Achievement_Text_Share_Reward_Creature]
AD_Achievement_Text_Share_Reward_13_Avocado	[AD_Achievement_Text_Share_Reward_Creature_Avocado]
AD_Achievement_Text_Share_Reward_15	[AD_Achievement_Text_Share_Reward_Creature]
AD_Achievement_Text_Share_Reward_15_Avocado	[AD_Achievement_Text_Share_Reward_Creature_Avocado]
AD_Achievement_Text_Share_Reward_16	[AD_Achievement_Text_Share_Reward_Creature]
AD_Achievement_Text_Share_Reward_16_Avocado	[AD_Achievement_Text_Share_Reward_Creature_Avocado]
AD_Achievement_Text_Share_Reward_17	[AD_Achievement_Text_Share_Reward_Creature]
AD_Achievement_Text_Share_Reward_17_Avocado	[AD_Achievement_Text_Share_Reward_Creature_Avocado]
AD_Achievement_Text_Share_Reward_18	[AD_Achievement_Text_Share_Reward_Creature]
AD_Achievement_Text_Share_Reward_18_Avocado	[AD_Achievement_Text_Share_Reward_Creature_Avocado]
AD_Achievement_Text_Share_Reward_19	[AD_Achievement_Text_Share_Reward_Creature]
AD_Achievement_Text_Share_Reward_19_Avocado	[AD_Achievement_Text_Share_Reward_Creature_Avocado]
AD_Achievement_Text_Share_Reward_2	<br>
AD_Achievement_Text_Share_Reward_2_Avocado	Avocado
AD_Achievement_Text_Share_Reward_20	[AD_Achievement_Text_Share_Reward_Creature]
AD_Achievement_Text_Share_Reward_20_Avocado	[AD_Achievement_Text_Share_Reward_Creature_Avocado]
AD_Achievement_Text_Share_Reward_21	[AD_Achievement_Text_Share_Reward_Creature]
AD_Achievement_Text_Share_Reward_21_Avocado	[AD_Achievement_Text_Share_Reward_Creature_Avocado]
AD_Achievement_Text_Share_Reward_22	[AD_Achievement_Text_Share_Reward_Creature]
AD_Achievement_Text_Share_Reward_22_Avocado	[AD_Achievement_Text_Share_Reward_Creature_Avocado]
AD_Achievement_Text_Share_Reward_23	[AD_Achievement_Text_Share_Reward_Creature]
AD_Achievement_Text_Share_Reward_23_Avocado	[AD_Achievement_Text_Share_Reward_Creature_Avocado]
AD_Achievement_Text_Share_Reward_24	[AD_Achievement_Text_Share_Reward_Creature]
AD_Achievement_Text_Share_Reward_24_Avocado	[AD_Achievement_Text_Share_Reward_Creature_Avocado]
AD_Achievement_Text_Share_Reward_25	[AD_Achievement_Text_Share_Reward_Creature]
AD_Achievement_Text_Share_Reward_25_Avocado	[AD_Achievement_Text_Share_Reward_Creature_Avocado]
AD_Achievement_Text_Share_Reward_26	[AD_Achievement_Text_Share_Reward_Creature]
AD_Achievement_Text_Share_Reward_26_Avocado	[AD_Achievement_Text_Share_Reward_Creature_Avocado]
AD_Achievement_Text_Share_Reward_27	<br>
AD_Achievement_Text_Share_Reward_27_Avocado	Avocado
AD_Achievement_Text_Share_Reward_28	[AD_Achievement_Text_Share_Reward_Money]
AD_Achievement_Text_Share_Reward_28_Avocado	[AD_Achievement_Text_Share_Reward_Money_Avocado]
AD_Achievement_Text_Share_Reward_3	[AD_Achievement_Text_Share_Reward_Creature]
AD_Achievement_Text_Share_Reward_3_Avocado	[AD_Achievement_Text_Share_Reward_Creature_Avocado]
AD_Achievement_Text_Share_Reward_4	[AD_Achievement_Text_Share_Reward_Creature]
AD_Achievement_Text_Share_Reward_4_Avocado	[AD_Achievement_Text_Share_Reward_Creature_Avocado]
AD_Achievement_Text_Share_Reward_5	[AD_Achievement_Text_Share_Reward_Creature]
AD_Achievement_Text_Share_Reward_5_Avocado	[AD_Achievement_Text_Share_Reward_Creature_Avocado]
AD_Achievement_Text_Share_Reward_6	[AD_Achievement_Text_Share_Reward_Creature]
AD_Achievement_Text_Share_Reward_6_Avocado	[AD_Achievement_Text_Share_Reward_Creature_Avocado]
AD_Achievement_Text_Share_Reward_7	[AD_Achievement_Text_Share_Reward_Creature]
AD_Achievement_Text_Share_Reward_7_Avocado	[AD_Achievement_Text_Share_Reward_Creature_Avocado]
AD_Achievement_Text_Share_Reward_8	[AD_Achievement_Text_Share_Reward_Creature]
AD_Achievement_Text_Share_Reward_8_Avocado	[AD_Achievement_Text_Share_Reward_Creature_Avocado]
AD_Achievement_Text_Share_Reward_9	[AD_Achievement_Text_Share_Reward_Creature]
AD_Achievement_Text_Share_Reward_9_Avocado	[AD_Achievement_Text_Share_Reward_Creature_Avocado]
AD_Achievement_Text_Share_Reward_Creature	<br><br>Share a battle unit with your friends – <font=tahoma_bold_10><color=fcffc3>[$]</font>.
AD_Achievement_Text_Share_Reward_Creature_Avocado	Avocado
AD_Achievement_Text_Share_Reward_Money	<br><br>Share <font=tahoma_bold_10><color=fcffc3>[$]</font> with your friends.
AD_Achievement_Text_Share_Reward_Money_Avocado	Avocado
AD_Achievement_Title_1	New unit
AD_Achievement_Title_1_Avocado	Avocado
AD_Achievement_Title_2	[$]
AD_Achievement_Title_200	Leader of King’s Troops
AD_Achievement_Title_200_Avocado	Avocado
AD_Achievement_Title_201	Master of Chaos
AD_Achievement_Title_201_Avocado	Avocado
AD_Achievement_Title_202	Keeper of Ancients
AD_Achievement_Title_202_Avocado	Avocado
AD_Achievement_Title_24	Valentine's Day
AD_Achievement_Title_24_Avocado	Valentine's Day
AD_Achievement_Title_3	New level
AD_Achievement_Title_3_Avocado	Avocado
AD_Achievement_Title_4	New title: [$]
AD_Achievement_Title_4_Avocado	Avocado
AD_Achievement_Title_400	Recruit
AD_Achievement_Title_400_Avocado	Avocado
AD_Achievement_Title_401	Fighter
AD_Achievement_Title_401_Avocado	Avocado
AD_Achievement_Title_402	Warrior
AD_Achievement_Title_402_Avocado	Avocado
AD_Achievement_Title_403	Veteran
AD_Achievement_Title_403_Avocado	Avocado
AD_Achievement_Title_404	Berserker
AD_Achievement_Title_404_Avocado	Avocado
AD_Achievement_Title_405	Knight
AD_Achievement_Title_405_Avocado	Avocado
AD_Achievement_Title_406	Champion
AD_Achievement_Title_406_Avocado	Avocado
AD_Achievement_Title_407	Hero
AD_Achievement_Title_407_Avocado	Avocado
AD_Achievement_Title_408	Legend
AD_Achievement_Title_408_Avocado	Avocado
AD_Achievement_Title_409	Demigod
AD_Achievement_Title_409_Avocado	Avocado
AD_Achievement_Title_5	[$]
AD_Achievement_Title_500	Guardian of the Library
AD_Achievement_Title_500_Avocado	Avocado
AD_Achievement_Title_501	Spell Removed
AD_Achievement_Title_501_Avocado	Avocado
AD_Achievement_Title_502	The Road North
AD_Achievement_Title_502_Avocado	Avocado
AD_Achievement_Title_503	Secret Manuscripts
AD_Achievement_Title_503_Avocado	Avocado
AD_Achievement_Title_504	Ancient Manuscript
AD_Achievement_Title_504_Avocado	Avocado
AD_Achievement_Title_505	A Hidden Threat
AD_Achievement_Title_505_Avocado	Avocado
AD_Achievement_Title_506	The Island’s Salvation
AD_Achievement_Title_506_Avocado	Avocado
AD_Achievement_Title_507	Golden Legion
AD_Achievement_Title_507_Avocado	Avocado
AD_Achievement_Title_508	Manuscript Hunters
AD_Achievement_Title_508_Avocado	Avocado
AD_Achievement_Title_509	To the pier!
AD_Achievement_Title_509_Avocado	Avocado
AD_Achievement_Title_510	Free at Last
AD_Achievement_Title_510_Avocado	Avocado
AD_Achievement_Title_511	All Seals are removed
AD_Achievement_Title_511_Avocado	Avocado
AD_Achievement_Title_512	The Key Is Ready
AD_Achievement_Title_512_Avocado	Avocado
AD_Achievement_Title_513	The Storm Clouds Are Gathering
AD_Achievement_Title_513_Avocado	Avocado
AD_Achievement_Title_514	Foreboding
AD_Achievement_Title_514_Avocado	Avocado
AD_Achievement_Title_515	Golden Legion
AD_Achievement_Title_515_Avocado	Avocado
AD_Achievement_Title_6	Training complete
AD_Achievement_Title_6_Avocado	Avocado
AD_Achievement_Title_7	New location
AD_Achievement_Title_7_Avocado	Avocado
AD_Achievement_Title_8	The adventure begins
AD_Achievement_Title_8_Avocado	Avocado
AD_Achievement_Title_9	[$]
AD_Achievement_Title_900	Halloween
AD_Achievement_Title_900_Avocado	Avocado
AD_Achievement_Title_901	Christmas
AD_Achievement_Title_901_Avocado	Avocado
AD_Achievement_Type_Coins	Coins
AD_Achievement_Type_Coins_Avocado	Avocado
AD_Achievement_Type_Creature	Unit 
AD_Achievement_Type_Creature_Avocado	Avocado
AD_Achievement_Type_Item	Item
AD_Achievement_Type_Item_Avocado	Avocado
AD_Achievement_Type_Stamina	Stamina
AD_Achievement_Type_Stamina_Avocado	Avocado
AD_Achievement_Wall_Desc_1	[$]
AD_Achievement_Wall_Desc_100	I've got a new unit – [army_unit_845436252_name]! Click here to collect your reward!
AD_Achievement_Wall_Desc_100_Avocado	Avocado
AD_Achievement_Wall_Desc_101	I've got a new unit – [army_unit_1457885761_name]! Click here to collect your reward!
AD_Achievement_Wall_Desc_101_Avocado	Avocado
AD_Achievement_Wall_Desc_102	I has got a new unit – [army_unit_1082613235_name]! Click here to collect your reward!
AD_Achievement_Wall_Desc_102_Avocado	Avocado
AD_Achievement_Wall_Desc_103	I've got a new unit – [army_unit_907864820_name]! Click here to collect your reward!
AD_Achievement_Wall_Desc_103_Avocado	Avocado
AD_Achievement_Wall_Desc_104	I've got a new unit – [army_unit_1771185152_name]! Click here to collect your reward!
AD_Achievement_Wall_Desc_104_Avocado	Avocado
AD_Achievement_Wall_Desc_105	I've got a new unit – [army_unit_1894667343_name]! Click here to collect your reward!
AD_Achievement_Wall_Desc_105_Avocado	Avocado
AD_Achievement_Wall_Desc_106	I've got a new unit – [army_unit_814856525_name]! Click here to collect your reward!
AD_Achievement_Wall_Desc_106_Avocado	Avocado
AD_Achievement_Wall_Desc_107	I've got a new unit – [army_unit_1340698284_name]! Click here to collect your reward!
AD_Achievement_Wall_Desc_107_Avocado	Avocado
AD_Achievement_Wall_Desc_108	I've got a new unit – [army_unit_1554971046_name]! Click here to collect your reward!
AD_Achievement_Wall_Desc_108_Avocado	Avocado
AD_Achievement_Wall_Desc_109	I've got a new unit – [army_unit_501131414_name]! Click here to collect your reward!
AD_Achievement_Wall_Desc_109_Avocado	Avocado
AD_Achievement_Wall_Desc_110	I've got a new unit – [army_unit_1645474520_name]! Click here to collect your reward!
AD_Achievement_Wall_Desc_110_Avocado	Avocado
AD_Achievement_Wall_Desc_111	I've got a new unit – [army_unit_1643424966_name]! Click here to collect your reward!
AD_Achievement_Wall_Desc_111_Avocado	Avocado
AD_Achievement_Wall_Desc_112	I've got a new unit – [army_unit_995546218_name]! Click here to collect your reward!
AD_Achievement_Wall_Desc_112_Avocado	Avocado
AD_Achievement_Wall_Desc_113	I've got a new unit – [army_unit_1444834080_name]! Click here to collect your reward!
AD_Achievement_Wall_Desc_113_Avocado	Avocado
AD_Achievement_Wall_Desc_114	I've got a new unit – [army_unit_1270775656_name]! I would like to share my reward with you!
AD_Achievement_Wall_Desc_114_Avocado	Avocado
AD_Achievement_Wall_Desc_115	I've got a new unit – [army_unit_614033656_name]! Click here to collect your reward!
AD_Achievement_Wall_Desc_115_Avocado	Avocado
AD_Achievement_Wall_Desc_116	I've got a new unit – [army_unit_1849932360_name]! Click here to collect your reward!
AD_Achievement_Wall_Desc_116_Avocado	Avocado
AD_Achievement_Wall_Desc_117	I a got a new unit – [army_unit_1569707585_name]! Click here to collect your reward!
AD_Achievement_Wall_Desc_117_Avocado	Avocado
AD_Achievement_Wall_Desc_118	I've got a new unit – [army_unit_1736635715_name]! Click here to collect your reward!
AD_Achievement_Wall_Desc_118_Avocado	Avocado
AD_Achievement_Wall_Desc_119	I've got a new unit – [army_unit_933879072_name]! Click here to collect your reward!
AD_Achievement_Wall_Desc_119_Avocado	Avocado
AD_Achievement_Wall_Desc_120	I've got a new unit – [army_unit_440124720_name]! Click here to collect your reward!
AD_Achievement_Wall_Desc_120_Avocado	Avocado
AD_Achievement_Wall_Desc_121	I've got a new unit – [army_unit_730969985_name]! Click here to collect your reward!
AD_Achievement_Wall_Desc_121_Avocado	Avocado
AD_Achievement_Wall_Desc_122	I've got a new unit – [army_unit_679014690_name]! Click here to collect your reward!
AD_Achievement_Wall_Desc_122_Avocado	Avocado
AD_Achievement_Wall_Desc_123	I've got a new unit – [army_unit_1362260711_name]! Click here to collect your reward!
AD_Achievement_Wall_Desc_123_Avocado	Avocado
AD_Achievement_Wall_Desc_124	I've got a new unit – [army_unit_874729719_name]! Click here to collect your reward!
AD_Achievement_Wall_Desc_124_Avocado	Avocado
AD_Achievement_Wall_Desc_125	I've got a new unit – [army_unit_711345374_name]! Click here to collect your reward!
AD_Achievement_Wall_Desc_125_Avocado	Avocado
AD_Achievement_Wall_Desc_126	I've got a new unit – [army_unit_1803850629_name]! I would like to share my reward with you!
AD_Achievement_Wall_Desc_126_Avocado	Avocado
AD_Achievement_Wall_Desc_127	I've got a new unit – [army_unit_347648649_name]! Click here to collect your reward!
AD_Achievement_Wall_Desc_127_Avocado	Avocado
AD_Achievement_Wall_Desc_128	I've got a new unit – [army_unit_1109124953_name]! Click here to collect your reward!
AD_Achievement_Wall_Desc_128_Avocado	Avocado
AD_Achievement_Wall_Desc_129	I've got a new unit – [army_unit_1382469534_name]! Click here to collect your reward!
AD_Achievement_Wall_Desc_129_Avocado	Avocado
AD_Achievement_Wall_Desc_130	I've got a new unit – [army_unit_336241499_name]! Click here to collect your reward!
AD_Achievement_Wall_Desc_130_Avocado	I've got a new unit – [army_unit_336241499_name]! Click here to collect your reward!
AD_Achievement_Wall_Desc_131	I've got a new unit – [army_unit_1045095640_name]! Click here to collect your reward!
AD_Achievement_Wall_Desc_131_Avocado	I've got a new unit – [army_unit_1045095640_name]! Click here to collect your reward!
AD_Achievement_Wall_Desc_2	[$]
AD_Achievement_Wall_Desc_2_Avocado	Avocado
AD_Achievement_Wall_Desc_200	{hero_name} just became the commander of the Royal Garrison! Click here to collect your reward!
AD_Achievement_Wall_Desc_200_Avocado	Avocado
AD_Achievement_Wall_Desc_201	{hero_name} now commands all the warriors of Chaos! Click here to collect your reward!
AD_Achievement_Wall_Desc_201_Avocado	Avocado
AD_Achievement_Wall_Desc_202	{hero_name} now possesses every Ancient unit! Click here to collect your reward!
AD_Achievement_Wall_Desc_202_Avocado	Avocado
AD_Achievement_Wall_Desc_24	Love came to King's Bounty: Legions! Now, if you send a gift to your friend, they will also get a valuable valentine. Click here to get your reward!
AD_Achievement_Wall_Desc_24_Avocado	Love came to King's Bounty: Legions! Now, if you send a gift to your friend, they will also get a valuable valentine. Click here to get your reward!
AD_Achievement_Wall_Desc_3	[$]
AD_Achievement_Wall_Desc_3_Avocado	Avocado
AD_Achievement_Wall_Desc_300	I have reached level 3. Many new warriors want to join my army.
AD_Achievement_Wall_Desc_300_Avocado	Avocado
AD_Achievement_Wall_Desc_301	I have reached level 5. Many new warriors want to join my army.
AD_Achievement_Wall_Desc_301_Avocado	Avocado
AD_Achievement_Wall_Desc_302	I have reached level 7 and I can now travel more across the world.
AD_Achievement_Wall_Desc_302_Avocado	Avocado
AD_Achievement_Wall_Desc_303	I have reached level 10 and attract new warriors to my army.
AD_Achievement_Wall_Desc_303_Avocado	Avocado
AD_Achievement_Wall_Desc_304	I have reached level 15. Many new warriors want to join my army.
AD_Achievement_Wall_Desc_304_Avocado	Avocado
AD_Achievement_Wall_Desc_305	I have reached level 20! Now I can command a larger army!
AD_Achievement_Wall_Desc_305_Avocado	Avocado
AD_Achievement_Wall_Desc_306	I am now level 25. My armies are numerous and the enemies run at the sight of me.
AD_Achievement_Wall_Desc_306_Avocado	Avocado
AD_Achievement_Wall_Desc_307	I have reached level 30. I command the most devastating armies in the game.
AD_Achievement_Wall_Desc_307_Avocado	Avocado
AD_Achievement_Wall_Desc_4	[$]
AD_Achievement_Wall_Desc_400	{hero_name} is now a Recruit in King's Bounty: Legions! Click here to collect your reward!
AD_Achievement_Wall_Desc_400_Avocado	Avocado
