WS_AskButtonCaption	Request
WS_TabTooltip_weapons	<align=center>[WS_TooltipHeaderFont]Weapons <br><align=left>[WS_TooltipDescriptionFont]A smithy that makes the best weapons for the Knights of the Academy. 
WS_TooltipDescriptionFont	<color=fbefb0><font=tahoma_regular_8>
WS_TooltipHeaderFont	<color=f4ef72><font=tahoma_bold_10>
WS_TooltipNormalFont	<color=FFFFFF><font=tahoma_regular_8>
WS_TooltopPriceFont	<color=dec25e><font=tahoma_regular_8>
WS_TypeCommon	Common
WS_TypeEpic	Epic
WS_TypeExceptional	Singular
WS_TypeLegendary	Legendary
WS_TypeNone	Unknown
WS_TypeRare	Rare
WS_TypeRife	Frequent
WS_TypeUncommon	Unusual
WS_WokshopButtonTooltip	<valign=top><color=DDDD00><font=tahoma_bold_10>Workshop<color=36FF00> (W)<br><color=FFFFFF><font=tahoma_regular_8><align=left>Workshop for making magical items out of various resources. 
WS_WokshopButtonTooltip_Tablets	<valign=top><color=DDDD00><font=tahoma_bold_10>Workshop<br><color=FFFFFF><font=tahoma_regular_8><align=left>Workshop for making magical items out of various resources.



