AM_Army_Tab	Army
AM_UnitStoreCountWhite	[AM_UnitValueTmpl]<color=FFFFFF>[?]<color=9B9B9B>[?]
AM_UnitStoreCountYellow	[AM_UnitValueTmpl]<color=FFF300>[?]<color=9B9B9B>[?]
AM_UnitValueTmpl	<align=center><valign=center><font=tahoma_regular_7_border_numbers_only><wordwrap=off>
AM_Unknown_UnitToolTip	You must continue completing quests, winning battles, and traveling. Sooner or later you may find this unit again, but for now it is out of play.
UCF_AllButtonTooltipText	Set maximum quantity
UCF_CancelButtonTooltipText	Cancel
UCF_Cost	Total
UCF_CostTmpl	[UCF_IconTextTmpl][UCF_LabelTmpl][UCF_Cost]
UCF_Count	Quantity
UCF_CountText	[UCF_LabelTmpl][UCF_Count]
UCF_CrystalImageName	textures/interface/common/icons/crystal_22x22
UCF_IconTextTmpl	<font=tahoma_regular_8><image=[$]></font><indent=2>
UCF_LabelColor	[TextColor]
UCF_LabelTmpl	<align=center><valign=center><font=tahoma_regular_8><wordwrap=off>[UCF_LabelColor]
UCF_Max	Maximum
UCF_MaxText	[UCF_LabelTmpl][UCF_Max]
UCF_Min	Minimum
UCF_MinText	[UCF_LabelTmpl][UCF_Min]
UCF_MoneyImageName	textures/interface/common/icons/money_22x22
UCF_NumberTmpl	<align=center><valign=center><font=tahoma_regular_8_numbers_only><wordwrap=off>[?]
UCF_OkButtonTooltipText	Apply
UCF_PriceText	Price
UCF_PriceTmpl	[UCF_IconTextTmpl][UCF_LabelTmpl][UCF_PriceText]
UCF_RealImageName	textures/interface/common/icons/real_22x22
UCF_ResurrectCostText	This will use your Stamina:
UCF_Squad	Party
UCF_Squad1	Party 1
UCF_Squad1Text	[UCF_LabelTmpl][UCF_Squad1]
UCF_Squad2	Party 2
UCF_Squad2Text	[UCF_LabelTmpl][UCF_Squad2]
UCF_SquadText	[UCF_LabelTmpl][UCF_Squad]
UCF_StaminaImageName	textures/interface/common/icons/stamina_22x22
UCF_TacticBookImageName	textures/interface/common/icons/tactic_book_22x22
UCF_TitleBuy	<align=center><valign=center><font=tahoma_regular_10>[UCF_LabelColor][UCF_TitleBuyText]: <font=tahoma_bold_10><color=DDDD00>[$]
UCF_TitleBuyText	Purchase
UCF_TitleMove	<align=center><valign=center><font=tahoma_regular_8>[UCF_LabelColor][UCF_TitleMoveText]
UCF_TitleMoveText	Specify the number of units to move
UCF_TitleResurrect	<align=center><valign=center><font=tahoma_regular_8>[UCF_LabelColor][UCF_TitleResurrectText]<br=5>[UCF_TotalCostQuantTmpl]
UCF_TitleResurrectSimple	<align=center><valign=center><font=tahoma_regular_8>[UCF_LabelColor][UCF_TitleResurrectText]
UCF_TitleResurrectText	Specify number of units
UCF_TitleRevive	<align=center><valign=center><font=tahoma_regular_10>[UCF_LabelColor][UCF_TitleReviveText]: <font=tahoma_bold_10><color=DDDD00>[$]
UCF_TitleReviveText	Resurrect
UCF_TotalCostQuantTmpl	[$] [UCF_IconTextTmpl]<font=tahoma_regular_8_numbers_only>[?]



